id	text	polarity
124	İyi ki Turkcell'in hava durumu paketine aboneyim. O da olmasa kim mesaj atacak bana	positive
125	türkcellden telefon alabilmek için illa bi kaç aylık faturalı hattımız mı olması gerekiyor...	negative
126	Kesilmeden, arada ses gidip gelmeden bir konuşma yapamaz oldum. İlk fırsatta Turkcell'den kurtulmanın vakti geldi artık...	negative
127	DİKKAT! BU TİVİT KISKANÇLIK İÇEREBİLİR..fizy nin kapatılması bir PR çalışması mıydı acaba?türksel zekisin..	positive
128	Cok sukur bb'mi kurtardi Turkcell	positive
129	çorlu merkezde 3g yayını var iken 24 ay abone olarak multivinn aldım.20 gün sonra 3g kesildi.nedenin sordum ? şu anda öyle dendi !	negative
130	Mesaj alamiyor,yaklasik 2haftadir mesajciklarimi goremiyorsam bu senden vazgececegim anlamina gelebilr Turkcell.Ne merem seymissin sen boyle	negative
131	Beter ol turkcell böyle bişey warmı engellede neymiş	negative
132	sayın   sağ olsun beni aradığınızı belirtti ama mesajla. İyi seneler diler sağlık,mutluluk ve bol kazançlı bir yıl dilerim.	positive
133	hayat paylaşınca güzel hilal ;) la la la	positive
134	mecidiyeköy'de edge. asmalı'da edge. taksim göbeği 18. katta arşta yine edge. bazen çok canımı sıkıyorsun #turkcell	negative
135	 hayat paylaşınca güzel la la laaa laa  	positive
136	ile  neyi dusunerek sistemi degistirdi acaba? Lutfen bir aciklama...	negative
137	turkcell bana komısyon baglamalı bence artık kacıncı musterısını kazandırdım :DD	positive
138	Bu turkcell kadar salak bir operatör var mıdır acaba ?	negative
139	duy bunu superonline japonyada 83mbps internet 60usd ve limitsiz! kotasız!	negative
140	ama hayat paylaşınca güzel lazım yani:D	positive
141	evett katılıyorum mehmetcim turkcell in cekeme gücü mükemmelll :( hic bi yerde cekmio..!!	negative
142	Seni seviyorum Turkcell	positive
143	Aynen Kanka Turkcell Iyı Ya	positive
144	En beklenmedik anda bi msj gelir heyecanlanırsın açmak için sabırsızlanırsn bi bakmışsınkiki Turkcell den gelmiş #yıkıldığıman :(	negative
145	Beni  kucakladı. Pess!	negative
146	hangi reklamı guzeldiki turkcell'in	negative
147	turkcell soyguncu... Ben 6-12 ay da bır avea vodafone arası gıdıp gelıyorum kı no degıstırme fırsatlarından yararlanıyorum heheh	negative
148	cnm ben superonline kullaniyorum kesinlikle cok hizli acaip memnunum tavsiye ediyorummm	positive
149	#turkcell bana kıyak geçmiş sms paketim seneye kadar darlingler :D	positive
150	Bu  ay  Turkcell e sağlam internet faturası öder herhalde..:))	negative
151	Sabah vapurlarında ücretsiz dağıtılan gazeteleri okuyanlar, 1 milyon kişiye ulaştı. Hayat okuduğunu paylaşınca güzel :)	positive
152	turkcell veya avea varsa alabilirim -,-	positive
153	Bi uyarsaydın hani turkcell! :s	negative
154	Turkcell'in çekmesi için gerçekten de baz istasyonu kurulması gerekiyormuş,,,	negative
155	"""arkadaşımın telefonunda sevgilisinin adını TURKCELL diye değiştirdim gelen msjları okumadan siliyor ayrıldı..."	negative
156	Konturum olmadiginda Turkcell in bana msg atmasi bile insani uzuyo lan.Tl yuklede bizde kurtulalim gibi gunde 5defa...	negative
157	"$u Turkcell reklamina bayiliyorum.. ""Mekanigini anlayamadin"" hahahaha ozturkselli olmak istiyorum :D"	positive
158	yavrum aldım mesajını da turkcell değil misin ki sen? gitmiyo :/	positive
159	#Türkiye Akbankın Axessi Turkcell Cep-T Cüzdanda: Akbank ve Turkcell, ödeme sistemleri ile mobil d...  #SonDakika	positive
160	turkcell in onca sacmaligindan sonra vodafone tek bi kabahat islemis bise mi. Op basina koy bence :)	negative
161	iyiki bi TL yükledik turkcell, sabahtan beri atmadığın kampanya kalmadı.	negative
162	Yaptıgın ıs ıs degıl. Adam 2 ıPhone alacak dıye benden sonra gelmesıne ragmen ben bekletılıyorum suyun ısınıyor ha	negative
163	bu arada süperonline internet 50 gb downloaddan sonra hızınıı 10 mbt ten 1 mbt e düşürüyomuş.haberiniz ola.sınırsız diye gaza gelmeyin.	negative
164	Kontoru bir gun gec alinca turkcell'in burnu sürtsün dercesine internet paketimi yenilememesi hic hos bir davranis degil	negative
165	Mesajsa turkcell'dir. Arayansa annemdir. Çok yanlızım :(	negative
166	bebeğimmm ne güzel bunları duyunca da bnm keyfim yerine geliyo hayat paylaşınca güzel lalalalalaaayy hahahah :D	positive
167	Büyük kuş Türksel işte... Utanmasa serçeyi de yiyecek. :))	negative
168	"""hayat paylaşınca güzel"" sloganını hayata geçirmek isteyen çocuk facebook da paylaşım rekoru kırdı"	positive
169	hayat siz cebinizdekileri bizle paylaşınca güzel.selocanlara bile uyuzm.work all nite-day pay th bills have to pay,aint it sad?	negative
170	hala çok pahalısınız	negative
171	Konuyla ilgili gösterme bir destekle bazı kursiyerleri Turkcell abonesi yaptıktan hemen sonra desteğinizi çekmeniz size yakışmadı!	negative
172	hayat paylaşınca güzel :))	positive
173	bugün senden hiç mesaj gelmedi. çok merak ediyorum iyi misin? her sabahın köründe senden gelen mesajlarla uyanmaya alışmıştım.	negative
174	turkcell para yiyor bya sıkıntı.	negative
175	Korkuyorum bir gün kapı çalacak Turkcell den gelecekler yakama yapışıp o kadar mesaj çektik bir cevap vermedin aşk olsun diyecekler diye..	negative
176	Offf diyorum sabah kvk musteri temsilcisi sonra turkcell ardindan isbankasi devamli bant 5'e bas 3'e bas insanla konusmak istiyorum ulennnn	negative
177	#turkcellesavasimvar	negative
178	"Coca Cola nun ""Umut"" müziği alıp çocukluğuma götürdü sanki, çok sevdim. Ajitasyonsuz oluyormuş demek. bkz. Turkcell"	negative
179	Kişisel Bloglardan 2011 Turkcell Blog Ödülleri'nde halk oylaması sonucu finale kalan ilk 10 blog: (cont)	positive
180	Lütfen gece 12 den sonra bana mesaj atmaktan vazgeç	negative
181	30Liraya 62TL yukleyen turkcell tesekkurler :D	positive
182	Iyiki bbm var mesaj gelince amaan turkcell den gelmistir deyip gecmiyorum	negative
183	alara şimdi derin nefes al, beynine oksijen gitsin ayrıca bu turkcell bana neden bokluk yaptı?	negative
184	434,00 tl ödemeyi nasıl yapacağım acaba süperonline a içime oturur ya	negative
185	hayat paylaşınca güzel:))))	positive
186	İnovasyonda büyük ödül Turkcell'in..bakalim sene hangi firma alacak?	positive
187	Biliyomusunuzzzz Turkcell oluyorummmm. Bilmessiniz tabi çünkü daha yeni karar verdimmmm.	positive
188	#hayattansogutanseyler onemli bir mesaj beklerken gelen msjin turkcell den olma kafasi.	negative
189	#parasineyseverelimde şu kubatın olduğu turkcell reklamları bi kalksın	negative
190	"""183"" umarım bu rakamın sonunda ""tl"" ibaresi yoktur :-) Turkcell deyince aklıma sadece fatura geliyor :-)"	negative
191	Turkcell i ariyorum genelde ben yia bayadir yeniliyo kendini 100mb de yapiyolar :D	positive
192	2002 den beri bi insan birine asik olmaz ki? Turkcell le saygili,seviyeli ve uzatmali bir iliskim var hep yanimda canim benim ya.	positive
193	Size bu tweeti atmak için 10 dk.dır uğraşıyorum düşünün artık ne kadar hızlı Turkcell Vınn. 1 yıl imzaladığım sözleşmenin süresini	negative
194	Bu arada siz sevgili panpişlerime duyurmayi unuttum vodafone un ayricaliklarla dolu dunyasindan turkcell in indirimlerle dolu dunyasina	positive
195	Klasik bir  vakası... Hattınıza TL yükledikten sonra kampanya öneri bombardımanı...	negative
196	Bu ara kimse beni arayip sormuyo turkcell mesaj attiginda sevinicek hale geldim sevgili arkadaslarima duyurulur.	negative
197	1 Turkcell benı sesımden tanır 2 Turkcell benı sesımden tanır 3 Turkcell benı aasdfghjksasdfghj yeteeer beeeee -adamı delırtırsın turkcell.	negative
198	hayat paylaşınca güzel iğrençliğinin yanında oskar alır o fasulye reklamı :)	negative
199	Dur bi mesaj atalım da sevgilisinden zannetsin.  -Turkcell	negative
200	Bende Turkcell'liyim ama bende bu sevdadan gram yok :S	negative
201	kontörlü hatlardan vergi kesilmeye başlaması da yeni adetiniz olmalı...!	negative
202	hoşgeldin aramıza. hayata bağlan Turkcell'le Hazal.	positive
203	Dünyaya liderlik eden operatör!: Turkcell Superonline, Türkiyeyi bir kez daha fiber internetin liderleri  arası...	positive
204	Bogazda deniz kenarinda bu turkcell in cekmemesine bir anlam veremiyorum yaa nedir buu	negative
205	kim girsin, kim ciksin, avea,vodafone 40 kurus, turkcell 50 kurus, turkcell, show tv ,digiturk hepsi karamehmet'in, ilginc dimi!	negative
206	#PazarlamaKonferansi Turkcell ile yine cok keyifli bir konferans baslamak uzere.	positive
207	Bu mesela: SunExpress'te TURKCELL'lilere tüm iç hat uçuşlarında %50 indirim! bu gün son gun! -	positive
208	o zaman ne yapmalıyız? Turkcell'e Can'ı koymadıkları için ne kadar büyük bir hata yaptıklarını gösteren bir mesaj?	negative
209	Bu turkcell harbi Pic	negative
210	Brawo turkcell simdiden cekmiyor!	negative
211	Ben zaten turkcell için baktım. turkcell'den vazgeçmem her türlü kaliteli bir ara vodafone kullandım ikinci hat yok asla..	positive
212	29tl'ye 1GB internet paketi mi olur  ? ben burda gunde 5 rubleye sinirsiz internet kullaniyorum!	negative
213	#turkcell adam gibi saatlerde mesaj atmayı öğren artık!	negative
214	2012'nin ilk Entrepreneurs Roundtable etkinligi ER8 16 Ocak'ta Turkcell'de.	positive
215	Canli performansiyla 30 aralik cuma gunu saat 15:00'da Turkcell Muzik'te!	positive
216	imza işlemez bunlara vazgeçmezler turkcel sevdalarından	positive
217	Sana da çok teşekkür ederim  . İlle de beni  ile aldat diyorsun!	negative
218	şu 3 günlük superonline deneyimim sonucu söyleyeyim: öyle bişey yok. :)	negative
219	Turkcell musteriden evrak istiyor,musteri yolluyor,gelmedi diyor islem yarim kaliyr.Bezdirme politkasi işliyor	negative
220	bu yüzden #turkcell demek isterdim.. ama hepsi aynı bkun laciverti	negative
221	Cem yilmazin oynadigi turkcell reklami ne öyle ya gülme krizndeym süper yapmislar :DD	positive
222	telefon aldım turkcell'den vodafone'a çevrmek için bi şifre vermeleri lazımmış ama kaç saattir yok. Çok sinir oldum kuzu ya.	negative
223	Cnm turkcell magazalarnda ve diger telefn magazalarnda satılıo :))	positive
224	vodafone cepnet and turkcell vınn kamu :(	negative
225	kesinlikle Süperonline.Hatta tivibuyu da öneririm.gayet güzel imkanları var;)	positive
226	sizlerede günaydın	positive
227	Bu aralar turkcell bile mesaj atmiyor, o derece durum kötü	negative
228	varmı turkcellde öyle temsilci hiç bir sorun çözemeyen ve çözemezde vatandası sömürmek üzerine kurulu düzende başka paket sunalım	negative
229	o sondaki gülücük olmamış. manası ne onun oyle? komik mi yazdığınız? sevimli mi oldunuz? hayır.	negative
230	iletisim uzerine en duygusal reklami yapiyorsun ama iletisimi saglayamiyorsun #turkcell illet ettin kac gundur	negative
231	süperonline ' nın fiber optik sistemi 10 tane ttnet eder yahu . 100 mbit internetten bahsediyoruz	positive
232	Bos  1 numara !	positive
233	hayat paylaşınca güzel ebruş :))))	positive
234	444'lü numaraları aramanın en ucuz yolu  THY ile 21.5 dakikalık konuşma sadece 40 kuruş tutmuş :)	positive
235	Daha bitmedi turkcell ve genpa yazmaya devam edecegim sattiginiz calinti veya kayitdisi telefon hakkinda	negative
236	bende ödül kazanırsam türkcell reklamlarını seslendirdiginiz stüdyoya gelmek istiyorum siz kayıt yaparken :)	positive
237	2011'de en çok hangi marka reklam verdi?    ilk 3 aynı sektor 1-Turkcell, 2-Vodafone, 3- TurkTelekom	positive
238	bugün tarifeyi hatırlayamadığım için arıyorum öyle bir değişiklik yapılmamış 'ıiı tamam yapın ozaman' diyorum	negative
239	ödediğimiz tel faturalarının %25'i KDV, %18'i de ÖİV. Yani devlet turkcell hep beraber geçiriyor anlayacağın.	negative
240	Ibne turkcell, sesli mesaj var diye sms geliyo sesli mesaji dinlemek icin 50kurus veriyosun sesli mesaj turkcell'den, kimi sikiyosunuz?	negative
241	capstone'u boşverip superonline'a başladım şuan,,ah ahh	positive
242	son 14 ay  ondan sonra #vodafone dan kurtulacağım.. hani o reklamlarda pahalı diye salladığı şirkete gidicem #turkcell	positive
243	Belirteyim yeni hattım Turkcell ve tuvalette bile çekiyor :) Avea öyle kenarda durmakta. Çok uğraştım çok anlattım nafile.	positive
244	ailem hep turkcell. benim baska hatta gecmem olmaz :D	positive
245	valla teknoloji çok ilerledi..kaybolduk ama turkcell çekiyor :)) çok ıssız buralar terk edilmiş gibi...	positive
246	Teşekkurler teknoloji uzmani:)) Beni kurtardi:D	positive
247	eee 4'ünde vodafone 'a geçişiniz sağlannacak dendi, turkcell kapandı an itibariyle vodafone da açılmadı :S telefonsuz kaldım ulan	negative
248	ay aynısı başıma geldi yaaaa...az önce yazdım hatta tcell yurtdışı internette fena kazıklıyo diye:/	negative
249	#Superonlinedan nasıl kurtuldum?	negative
250	önerisi ile faturalı hatta gectim tarifem 500 dk 19,00 tl olduğu dışında bişey söylenmedi, Aralık 27 sinde 43,60 tl lik faturam	negative
251	Bu Turkcell kadar da işgüzarını görmedim	negative
252	Bir Turkcell GSM şehrinde neler oluyor ? Eğitimindeyim. Baya olaylar oluyor durumlar fena :)	negative
253	Saat 00:44 hala besinci sayfadayim turkcell bak bu son disi yakarisim.	negative
254	hayata bağlan turkcelleeeee	positive
255	superonline fiber internet hizmeti adresinizde varsa tavsiye ederim cok hizli hesapli kesilmiyor ve kimse aramiyor bu arada ++	positive
256	İyi ki kontr aldım... dün geceden beri aynı anda 10 mesaj atıp beni yalnız bırakmayan turkcell sağol canım....	negative
257	sabah 4 te mesaj atan çılgın turkcell	negative
258	muzık paketı yapcaz dıyıp 10TL'ni alıp bırsey yapmayan turkcell eskı sevgılınızle kankıymıs kızlar hanı sovmek ısterseniiz	negative
259	her zaman heryerden böyle	positive
260	Reklamı bana   reklamlarını çağrıştırdı. Bu çağrışımı yaratan Turkcellse başarılı olan da haliyle o! Değil mi?	positive
261	#pazarlamakonferansi ndayiz bu sabah. Turkcell Charlene Li'yi getirmiş.	positive
262	twitter'ın Güzin Ablası oldunuz. Ben de Turkcell den şikayetçiyim. 2 aydır sorunumuzu gidermediler dikkat! gideremediler değil!	negative
263	Lan bu Turkcell niye bu kadar kazık	negative
264	sebebiyle telefonlarında kesik olması düşünülürse insanlar adsl gunlerini arar hale geldiler. superonline = berbat alt yapı..beceriksizlik !	negative
265	Superonline warken TTnet e laf dusmez bence.. siddetle tawsiye ederim..	positive
266	***alem*** artık daraldıysan herşeyden eğerki bıktıysan kotuysan hayattan,,,  türkselle bağlan hayata :)	positive
267	superonline her şekilde daha hızlı ve kullanışlıdır ttnet'e göre :)	positive
268	Turkcell Yeni yildizini bulmus	positive
269	#Sans yazin Turkcell'e gonderin, sonra faturanizda gorursunuz ne kadar sansli oldugunuzu.. Ben cok sansliymisim ama coooookk!	negative
270	Ve turkcell'den aldığım iPhone sağlıklı çalışmıyor.daha söyleyecek cok şey var ama daha sonra söylerim	negative
271	25 dakikadır bu durumda bekliyor. Turkcell 3G sıçmış durumda.	negative
272	Bundan sonrasını   düşünsün biz de gayet memnunuz vodofondan.	negative
273	Bugün Turkcell'e bedava ama arayacak Turkcell'li yok	negative
274	#Mutluyum #Mutlusun #Mutluyuz ... Hayat paylaşınca güzel lalalalaaaa :)	positive
275	#Turkcell biraz bir seyler yap Twitter'in Facebook'tan eksigi ne? Onun niye 0'ı m'i yok. Yazik bence.	negative
276	Bugün hiç mesaj atmadın ? Hayırdır küs müyüz ? Yoka rahatsız mısın ?	negative
277	Bı ıpad işini halledemeyen turkcell platinum uyesı  cinnet geçirerek saçlarını yoldu!	negative
