text	category	polarity
bir çizgi roman uyarlaması ancak bu kadar özüne uygun bir şekilde beyaz perdeye aktarılabilirdi. türü seven herkesin mutlaka izlemesi gereken, politika soslu harika bir süper kahraman filmi.	dvd	positive
bu film için fazla söze gerek yok.gecen yüzyılın en iyi ilk 3 filmi içindedir hangi listeye bakarsanız bakın.. kesinlikle kaçmaz...	dvd	positive
hepsiburada com. teşekkürler. ürün kısa sürede elime ulaştı. uzun zamandan beri kulaklık arıyordum. yorumlarada güvenerek aldım. bence creative e630 kulaklık çok iyi. özellikle basları gayet güzel tizleride yerinde. fiyatıda indirimliydi aldığımda şuanda yükselmiş. alacak arkadaşlara tavsiye ederim. bilmeyen arkadaşlara bir tavsiyem daha olacak müziklerin 250-320(kb/sn) arası bit frekansı olan müziklerde daha iyi verim alabilirler daha net duyabilirler.	electronics	positive
ilk bölümdeki aksiyon, gerilim ve maceranın zerresine rastlamadım. fragmanlarına koydukları bir patlama sahnesinden başka bir şey yok. kadroya yazık. sinemada sıkıntıdan şiştim. vakit kaybı.	dvd	negative
urunu annee hediye aldim. annem cok begendi. fiyatida gayet makul.tavsiye ederim.ozellikte gri olmasi ve 5 programli olmasi ayri bir avantaj	kitchen	positive
büyük, kulağı kaplayan, ağır olmayan, sesi gür (100 db), kablosu uzun, mikrofonlu kulaklık. bende saatlerce müzik dinliyorum kulağım pişmiyor. 100 db civarında saatlerce müzik dinlerseniz tabi kulağınız pişer, dikkat etmek lazım.	electronics	positive
hem bu kadar uygun fiyata hemde philips kalite sini almak gercekten super bıraz kaba olması dısında urun tavsiye edilebilecek nitelik te guzel ses kalitesii iyi	electronics	negative
adı börekçi ama böreği çok iyi pişirmedi böreğin altı hamur kaldı,kek pişirdim onu da çok kabartmadı. tavuk vb. yiyecekeleri pişirebilirsiniz.	kitchen	negative
gelecekte olma olasiligi yuksek bir konu, aksiyon dozu dusurulmeden hos kamera acilari ile mukemmel degerlendirilmis bir yapit.bence dvd kolleksiyonculari icin yillar sonra bile zevkle seyredilecek bir yapim..siddetle tarafimdan tavsiye olunur!!	dvd	positive
usta sinemacı micheal mannin yönetmenliğini konuşturduğu bir film daha.kamera hareketleri ve görüntü açılarından  anlaşıldığı üzere hdv kameralarla mann,video klip estetiğini yakalamaya çalışmış.ortada teknik olarak son derece iyi bir film duruyor anlayacağınız.sıkı bir gerlim-macera filmi olan collateral,tom cruiseun soğuk kanlı,kiralık katil vincnt rolüyle kendine hayran bıraktırıyor doğrusu.işbirlikçisi olmaya zorlanan jamie fox da ondan aşağı kalmamış tabi.bir günde geçen film fazlasıyla da sürükleyici ve aksiyonu bol.en iyi sahnelerinden biride hiç kuşkusuz diskodaki çatışma sahnesi.gerçekten izlenmeye değer.ama finali daha iyi olabilirdi...	dvd	positive
2 seneye yakın bir zamandır kullanıyorum... bir gün bozulursa yine aynısını alırım... ses izolasyonu süper... bas performansı tartışılamaz... almanızı tavsiye ederim...	electronics	positive
"müthiş bi film.cage bir profesör.cagein oğlunun okulunda yıllar önce öğrencilerden geleceği anlatmaları/çizmeleri isteniyor ve yıllar sonra da bu yazılanlar/çizilenler şimdiki öğrencilerle paylaşılıyor.herkes bir mektup alıyor.cagein oğluysa sadece rakamlarla dolu bir sayfa alıyor.daha sonra cage tesadüfi bi şekilde bu rakamların aslında büyük felaketleri işaret eden rakamlar olduğunu farkediyor ve olaylar gelişiyor. film bütün bu felaketleri çok iyi anlatmış bence,efektler,sahneler herşey çok çok hoş.insanı zıplatan,geren, sahnelerden bol bol var.senaryoda bazı boşluklar var ama bu tip ""kehanetlere dayalı film""lerde genelde karşılaşılan bişey.sonunda da bi şekilde şaşırtmayı beceriyor."	dvd	positive
kesinlikle tavsiye ederim çok harika bir kitap ufkunuz genişleyecek erkekler için gri kapak düşülmeside ayrı bir güzellik, okuması çok zevkli ve sürükleyici	books	positive
öncelikle süper bir romandı herkse tavsiye ediyorum bu kitapta elif şafakın diğer kitapları gibi süperdi ama bir farkı bu daha akıcı geldi bana birde şu pembe kapak gri kapak meselesine değinmeden edemeyeceğim. yok erkekler pembe kapaklı kitabı okuyamıyoruz diyorlarmış ya lütfen okuyun da ne olursa olsun ya yeterki okuyun ne önemi var kitabın kapağınımı okuyoruz önemli olan içi ve bu kitabın içide harika	books	positive
2 sene önce aldım. çeyizim için almıştım. ilk başlarda gerçekten memnun kalıyorsunuz. çünkü yepyeni makina. ama aradan zaman geçti (2-3 ay) su haznesinin içindeki küçük borunun dişleri kırıldı. emiş gücü biraz düştü. aradan biraz zaman geçti. su haznesinin içinde filtre dedikleri şey bildiğiniz sentetik sünger iğrenç bir hal aldı ki her kullanımda tüm parçalar yıkanıp kurutuldu. koku yaymaya başladı. makina ile hortum arasındaki dişler tek tek kırıldı. ayrıca su haznesini tam anlamıyla temizlemeye imkan yok. girinti çıkıntıları çok olduğundan (ne el girebiliyor ne fırça ne sünger) pislikler kalıyor yapışıyor. ilk aldığımdan çook sesli ve artık emiş gücü tükendi. 2-3 günde anlaşılmıyor kalitesi performansı. lütfen bu söylediklerimi dikkate alın ve internette yapılan şikayetlere bir göz atın.	electronics	negative
"ürün beklentilerimizi karşıladı gayet iyi fakat ""süper hizli gönderi olayi"" tam bir hayal kırıklığı 4. günde ürünü alabildik. ardahandan istanbula 2 günde kargo geliyor. hemde süper hızlı gönderi olmadan."	electronics	positive
bence bu kitap hic olmamış değer kitapların yanından bile gecmiyor okurken sıkılıyor insan 6 7 günde anca bitti hic birşeyde anlamadım	books	negative
görüntüsü şık ve kullanımı çok rahat geçen yıl kendime almıştım bir tane de kardeşim için alacağım özellikle kablosunun uzun olması çok rahat..	electronics	positive
kendim de kllanmakta olduğum bu üründen kız kardeşime aldım ve de süper gerçekten kullanımı avantajları a sınıfı olması bi de arçelik garantisi altında olması gerçekten güzel kaliteli hepsiburadaya teşekkürler...	kitchen	positive
film gerçekten de harika. dvd formatı oldukça hoş olmuş. size tavsiye edebileceğim bir film. william wallace ın seslendirenin sesini pek beğenmedim ama film muhteşem.	dvd	positive
plastiği çabuk kırıldı, fazla kullanamadan attım. bu markadan daha kaliteli bir ürün beklerdim. ses fena değil ama kullanamadıktan sonra bir işe yaramaz.	electronics	negative
herkesin okumasını tavsiye ederim. bu kitabı okuduktan sonra bir defa okuduktan sonra geri bırakamıyorsunuz keşke hiç bitmesin diyorsunuz kitap sizi kendine bağlıyor	books	positive
ürünü kullanalı yaklaşık 6 ay oldu,bu süreçte ilk turbo başlık birkaç ay sonra koldaki uzaktan kumanda ünitesi ve kumandanın altındaki plastik boru ile hortumun birleştiği yer kırıldı kısacası ürün altı ayda elimde kaldı kullanılan plastik madde çok kalitesiz,müşteri hizmetlerine durumu anlattığımızda ürünün kalitesizliğinden çok ,kullanıcı hatasından kaynaklandığını garaqnti kapsamı dışında olduğunu belirtiyorlar. diğer kullanımla ilgili zorluklarından bahsetmiyorum..  kısacası uzak durun derim.paranızı çöpe atmayın.  saygılarımla.	electronics	negative
merhaba, ürünü satın aldıktan sonra 2 gün içerisinde teslim ettiler. paketleme ve kargo çok iyiydi ve evime kadar getirildi. servis için yetkili çağrı merkezini aradığımda da ilk kurulum için servise ihtiyaç duyulmadığını, ürünün tak çalıştır özellikte olduğunu söylediler. ürünü satın almak için yaptığım tek şey iki tık oldu. hiçbir zahmete girmeden buzdolabı evime geldi. ürünü şu anda kullanıyorum ve memnunum. 5 kademeli olan sıcaklık ayarının 3. kademesinde çalıştırıyorum ve bu kadar sıcak havaya rağmen güzel soğutuyor. teşekkürler.	kitchen	negative
bassları harika.en dandik mp3 playerlerde bile net ses.daha önceki kulaklığımı kedim yedi hemen burdan bir tane daha spariş verdim sınıfının fiyat performans olarak en iyisi	electronics	positive
cihazı alalı bir hafta oldu görünüş olarak güzel yalnızca ekran zayıf ayrıca radyo yok beklentisi yüksek olmayanlar için idare edert	electronics	negative
eğer bu dizi seyretmediyseniz çok yazık size üzülüyorum... bir dizi bukadarmı güzelliklerle dolu herkes herşey süperr	dvd	positive
ahmet ümitin kitaplarını zevkle okurum.bu kitapta okur beyoğlu sokaklarında bir gezinti yaparken cinayet ve onu takip eden olaylar ve kişilerin hayatlarına da adeta yaşarmışçasına tanıklık ediyor.istanbulda doğmuş ve büyümüş olmama rağmen beyoğlunda gezip görmediğim ve bilmediğim ne kadar çok mekan olduğunu bu kitapla farkettim.	books	positive
savaş sebeplerinin iç yüzünü saydam olarak anlatan antiamerikan filmlerden birisi. nicholas cage için izlenmeli diyorum...	dvd	negative
beklentinizi çok yüksek tutmayın çünkü,çok sürükleyici ve merak uyandıran bir kitap değil.ben fantastik edebiyat okuyan biri olarak fantazi ile de pek bir alakasını bulamadım.	books	negative
yaklaşık 5 yıldır bu kulaklığı kullanıyorum ve ömür boyu da kullanmaya devam edeceğim bir ürün, müziğin keyfine varmak istiyorsanız pişman olmayacağınız bir ürün.	electronics	positive
"danzel washingtonun ""mançuryalı aday"" dışında tüm filmlerini büyük bir keyifle izledim. ama bu film kesinlikle bir numara. filmin izleyiciyi sürekli heyecan içinde tutan bir temposu var."	dvd	positive
ürün çok iyi. parasına göre süper. ancak temizlik sorunu var. onun dışında çok iyi....piyasadaki diğer ürünlerden daha şık durduğunu söyleyebilirim.	kitchen	positive
ürün fiyatı 20tl fakat verdiği kalite fiyatının çok çok üstünde, normal olarak dışarıya ses veriyor ama sizin için sorun yoksa sorun yok fazla parası olmayan kalite isteyen arkadaşlar bundan alabilir	electronics	positive
bu bilgi hatalı sanırım 230 w demek istediler . birde air watt yazması lazım alırken mutlaka öncelikle emiş gücüne bakın arkadaşlar. emiş gücü yazmayan süpürgeyi hiç almayın	electronics	negative
tek kötü tarafı böyle bir dizi izleyince artık tv lerde gördüğümüz sradan dizileri seyredemeyeceksniz buda dizimi diyeceksiniz. artık daha kaliteli şeyler izlemek isteyeceksiniz bu dizi size kaliteyi ögretiyor .	dvd	positive
konu çok klasik gibi görünebilir. ama hiçbir şey göründüğü gibi değildir. mutlaka izleyin.	dvd	positive
hayatımda okuduğum en güzel romanlardan biriydi diyebilirim... kesinlikle ve kesinlikle herkes okumalı... bu kitapla birlikte biraz da olsa kendimizi değiştirmeyi başarabilirsek dünya çok daha yaşanası bir yer olacaktır...	books	positive
bir senedir mecburen kullanıyoruz.artık yenisini alma vakti geldi hatta geçti.makina bir kere çok sesli.kablosu dahi dolanmıyor.çok ağır.ve en önemlisi hiç pratik bir makina değil.	electronics	negative
ürün genel olarak güzel ve kolay kullanılabilir. ürünü aldıktan sonra en güzel yanı da hızlı gönderim; hemen elimize ulaştı. sesi biraz yüksek, ancak onun dışında fiyat/performans olarak son derece mantıklı..	kitchen	negative
gazeteci olarak ülkeye zerre kadar faydası dokunmamış bir insanın yazar olarak ne gibi bir etki yapacağı toplu iğnenin ucu kadar umrumda değil. gazeteciliğini beğenmiyordum kaldıki yazarlığını beğenipte inanayım	books	negative
bu filmi alan birine star wars serisini anlatmanın gereği yok bence, tek kelime ile mükemmel. ancak ilk kez izleyecekler için tavsiyem öncelikle serinin 4,5 ve 6. filmlerini seyrettikten sonra 1,2 ve 3. filmlerini izleyin. yoksa bir esprisi kalmaz. bu filmi alacaklar içinse eğer türkçe altyazı ihtiyacı duyuyorsanız bu dvd de türkçe altyazı yok.	dvd	negative
"dünyalar savaşı,dahi sinemacı steven spielbergün yönetmenliği ve teknik becerisiyle öne çıkan bir film.çok iyi çekilmiş sahneler,muhteşem kamera hareketleri, olağanüstü özel efektler kısacası teknik olarak neredeyse mükemmele yakın bir film var karşımızda.hele bir açılış varki gerçekten inanılmaz.ayrıca spielbergün gerilim yaratmadaki dehası bu filminde de kendini gösteriyor ve inanın filmi izlerken kameranın arkasında kendinden çok emin ve ne istediğini çok iyi bilen bir yönetmenin oturduğunu anlıyorsunuz.film ünlü ingiliz yazar h.g.wellsin 1898 tarihli aynı adlı,kült romanından günümüze adapte edildi.wellsin  öyküsü bugün bile insanı tedirgin etmeyi çok iyi beceriyor.tom cruise ve küçük yıldız dakato faniningin performansları da harika.tim robinsi de unutmamalı tabi.dünyalar savaşının senaryodan kaynaklanan bazı mantıksal hatalarını ve çekim aksaklıklarını görmezden gelirsek aslında karşımızda iyi bir bilim-kurgu,gerilim filmi var. filmi izledikten sonra akıllarda bazı cevaplanmamış sorular da bırakmıyor değil tabi.11 eylül olaylarının izlerini taşıyan film,uzaylı istilasını kimi zaman bir terör saldırısıymış gibi ele alır bir tavrı var.spielbergün muhafazakar-milliyetçi yönünü bazen çok yoğun bir şekilde filme yansıttığını da düşünüyorum.neyse,tim robinsin canlandırdığı ogilvynin istila hakkındaki sözleriyle yorumu bitireyim; ""kanımızı içiyorlar...kanımızı...bizi gübre gibi püskürtüyorlar...bizi içiyorlar.sonrada buraya gelirken yanlarında getirdikleri kırmızı otların üstüne tükürüyorlar.bu bitkiler onların(uzaylıların)besin kaynağı.ama o şeylerin burada yetişebilmesi için kana ihtiyacı var,kanımıza ihtiyacı var.onlar(uzaylılar) savaş makinelerini daha henüz buralarda insan bile yokken yerinaltına gömdüler. milyonlarca yıldır bunu planlıyorlarmış.onlar(uzaylılar)bizim için gelmedi.gezegenimiz için geldiler.bu insanlarla tripodlar arasındaki bir savaş değil.bu bir katliam."""	dvd	negative
ürün ücretine bakarak çok kaliteli diyebilirim. piyasadaki çoğu makineden kaliteli bir duruşu var. hem türk üretimi bir ürün alıyorsunuz hem türk ekonomisine katkıda bulunuyorsunuz hemde parasının karşılığını fazlasıyla veren bir ürün almış oluyorsunuz.	kitchen	negative
fiyatı çok uygun olduğu için regali tercih ettim.ancak aldıktan 1,5 yıl sonra bozuldu.garantiden yenisiyle değiştirdiler değişen makine de 2 yıl demeden su koyuverdi.temiz yıkamıyor.fiyatı sizi yanıltmasın paranızı sokağa atmayın.	kitchen	negative
çay makinesini iyice araştırarak aldım.. gerçi ürünün süzgeçinde problem çıktı ancak diğer yönleri ile çok kullanışlı.. tavsiye ederim.	kitchen	negative
ürünü hepsiburadadan yaklaşık iki ay kadar önce aldım tost ve ızgara konusunda oldukça iyi temizlenmesi kolay özet olarak üründen memnun kaldım. tek kusuru tost yaparken plastik olan tutaçlardan fazla bastırınca esneme yapıyor kırılacakmış hissi uyandırıyor yada arkadaki hareketli aksam yukarı kalkarak çok fazla bastırmayı engelliyor ama çok fazla bastırmayınca problem yok. tavsiye ederim.	kitchen	negative
philips raga mp3 playerımın kulaklığı kopunca bunu aldım. valla sesi aynı orjinalde gelenle. klağa oturması güzel kaşındırma durumu yok. son ses te de açtım gayet tatmin edici geldi. hele bu fiyata. kesinlikle kaçmaz.	electronics	positive
beklediğimden daha güzel ve şık davlumbaz çok iyi çekiyor iyiki fazla para verip almamışım başka ürünlerden fiyatıda gayet uygun hepsi burada.comda	kitchen	negative
açıkçası okurken sıkıldım, ayşe kulin bence roman yazsın. biyografi yada otobiyogrofileri akıcı değil. taihi hayalgücü ile harmanladığında müthiş eserler çıkarıyor sevdalinka gibi.	books	negative
ürün güzel bir ambalajda geliyor  ayrıca 2 adette farklı boyutta kulaklık aparatı bulunuyor. kablolar çok ince ve hafif kalitesi güzel marka güven veriyor ses seviyesi çok yüksek baslar yeterli tavsiye ederim	electronics	positive
hızlı gönderi olmasında elinize çabuk ulaşıyor ,ekonomik fiyat,arçelik garantisi,30 dk programı olması avantaj ama çamaşırları sıkmada yetersiz ve kapağında köpük bırakıyor.	kitchen	negative
kulaklık bas seslerini gerçekten çok iyi veriyor.bence sadece kulaklık özelliği arayan mikrofon özelliği aramayan kullanıcılar bu ürünü rahatlıkla tercih edebilirler.	electronics	negative
bir çamaşır makinesinden ne bekleniyorsa tam diyemeyeceğim ama çoğunu karşılar. öncelikle çok sessiz ve güzel yıkıyor. eksik olarak kalan süre göstergesi yok malesef.	kitchen	positive
en son youtubeda izlediğim röportajında da söylemişti ahmet ümit, çok okumamız lazım ülkece. bu kitap da o okuduklarımız arasında olmalı.	books	positive
bence fena değil . çok güzel değil ama izlemeye değer. eski imparatorluk donuyo taş oluyo sonra canlanıyo .... sonra taşların başkanı olan mavi bir taşı ele geçirmeye çalışıyo ...	dvd	negative
creativenin her ürününden çok memnunum ama  bu ürün daha farklı çünkü kulaklığı taktığımda müziği sanki karşımda söylüyor gibi oluyor eyer kaliteli ve ucuz bir ürün arıyorsanız creative den şaşmayın derim......	electronics	positive
2 hafta önce bu kulaklığı aldım ve memnun kaldım. orta üstü sınıf bir kulaklık istiyorsanız, fazlasıyla işinizi görecektir. teşekkürler hepsiburada.	electronics	positive
süpürge güzel güzel olmasına ama çok zahmetli her ev süpürülmesinde birde süpürgenin parçalarının tek tek yıkıyor sonra da kurutuyorum en azından toz torbalı süpürgelerde bu dert yoktu	electronics	negative
nicolas cage o rolde adeta sırıtmış.biraz yaşlı kalmış genç bir oyuncu tercihi çok daha yerinde olurdu onun dışında efektler güzel.	dvd	negative
ilk gördüğümde die bulaık makinalarıyla olan fiyat farkı beni olumsuz düşünceye sevketdi.ama yorumları okudukça fikrim değişti beyaz eşya satıcılarından blgi aldım ve cihazı almaya karar verdim.gercekten pahalı ürün almaktansa bu ürünü almanızı tavsiye ederim paranızı boşa çıkartmayacak bi ürün.zaten hangi bulaşık makinası olursa olsun 2programdan fazlsı kullanılmıyor bunda 4 program var.almanızı tavsiye ederim	kitchen	positive
ilk 3 bölüm çok iyiydir. 4. bölüm biraz sıkmıştı, şimdi 5. bölüm gayet iyi olmuş. hele ki bu dvd ile yapılan kampanya kaçırılacak gibi değil.	dvd	negative
istanbulu görmeden tarihini öğrendim,  süper bi kitap okurken uyuyamadım ertesi gün işe geç kalmama sebep oludu. biraz da  behzat ç.yi anımsatıyo	books	positive
başka bir yorumcu arkadaşın da belirttiği üzere çocukluğumuzun çizgi filmlerinden olan bir uyarlama olan bu filmin konusu daha farklı bir mecraya çekilerek işlenmiş.  birçok kişi filme değil de megan foxa hayran kaldı kanaatimce filmin yönetmeni bu işi gerçekten iyi biliyor ve satacak bir film yapmış. görsel bir şölen ve bolca aksiyon. koleksiyonlarda yerini alabilecek bir film ( benimkinde olduğu gibi ) ama dediğim gibi özünden oldukça uzak...	dvd	negative
ürünü almadan önce çok met etmişlerdi , yorumları okudum herkes uçurdu bende fiyatı çok uygun diye sipariş ettim ne kadar markadan biraz çekincem olsamda.evet söylendiği gibi dış sesleri güzelce izole ediyor kulağınıza taktığınızda dış dünya ile bağlantınız kesiliyor.ancak bass ve tiz olarak eğer uzun süredir mp3 çalar dinliyorsanız (14 senedir walkman zamanından beri ) bende olduğu gibi sizi asla tatmin etmiycektir.ses çok solgun geliyor yani uzaktan gelirmiş gibi bir hava yaratıyor tabii kulaklığın açılması gerekir burn-in yapıcam ama büyük farklılıklar yaratacağını sanmıyorum.ama fiyatı benim için önemli uygun fiyatlı diyenler kulaklık bu fazla bişey beklemiyorum diyenler kullanabilir.	electronics	negative
şimdiye kadar çekilmiş en iyi dizi bence! her bölümü ayrı bir merak konusu olan her anı beyin jimnastiği yapmanızı sağlayan mükemmmel bir dizi son sezon hakkında ki yorumlar sizi yanıltmasın...	dvd	positive
ürün dün elime geçti oğluma yeni yıl hediyesi almayı düşünüyordum beyaz renini seçtim.ürün çok şık ve dizayn olarak mükemmel.kablosununda hem kulaklığa hemde pc,tv,mp3 dinleyeceğiniz kısmında küçük çivi girişinin olmasıda ayrı bir güzellik katmış.en kısa zamanda eşime ve kendimede almayı düşünüyorum.yine aynı şeyi söylüyorum.teşekkürler hepsi burada	electronics	positive
film birkere kötü bir konuya sahip ayrica bitişi çok saçma efektler vasat ingiliz filmi ancak bu kadar olur.yani bence el bile sürmeyin	dvd	negative
ürün gerçekten çok iyi. sesi az çıkan diyen arkadaşlara katılmıyorum, bence çok çok yeterli. kendim müzisyenim ve mikrofonunu kayıt işlerinde bile kullandım. hepsiburadaya teşekkürler..	electronics	positive
elif şafakın aşk kitabından sonra bunu aldım fakat okumakta zorlandım ve sıkıldım. akıcı bir kitap değil, cümle yapısı karışık, ilk roman olmasından acemiliği çok belli oluyor. kısacası tavsiye etmem.	books	negative
merhaba hepsiburada.com ziyaretçileri. bu siteden almak istediğim tüm ürünlerin önce yorumlarını okudum,gerçekten bu yorumlar çok işe yarıyor. elif şafakı okumamı arkadaşım tavsiye etmişti.sonrada hepsiburada ya bakim dedim iyi ki de bakmışım yorumları okuduktan sonra hemen aldım. okudukça kendimi sayfaların içinde buldum.bitirmeyi hiç istemediğim bi kitap.şiddetle tavsiye ederim...	books	positive
ürünü kullanmaya basladığımda yanık kokusu geliyordu sürekli çok geçmedende dumanlar çıkarmaya basladı ve motoru yandı çok pişmanım aldığıma kesinlikle tavsiye etmiyorum...	kitchen	negative
polisiye roman olmasına rağmen psikolojik boyut bakımındanda oldukça güçlü bir kitap ben okumanızı tavsiye ederim.bu fiyatada oldukça uygun denemeye değer.	books	negative
ürünü sipariş verdim 1 hafta sonra elime geçti servisi sabah aradım akşam gelip kurdular.şimdilik bir sıkıntı yok ama yalnız içinden türkçe kıllanum kılavuzu çıkmadı büyük bir eksik.	kitchen	negative
almayı düşüne arkadaşlara tavsiye edebilirm cok güzel piyasadaki pahalı ürünleri aratmıyor cok sesiz alırken cok teredüt ettim amma yersizmiş almak isteyen kişilere tavsiye olur hemi sertvis hizmetindede sınır yok 3 yıl garantili sadece uzatma yapılmıyor	kitchen	positive
ürünü çok beğendim. ses çıkışı çok güzel ve extra bass isteyenler için tek tuşla harika basslar.	electronics	negative
