Country	Domain	ID	Polarity	Product	Rating	Software	Text
Kuwait	art and culture	4024	Positive	مؤسسة الحرف الذهبية			(جيد جداً) مؤسسة ممتازة و جيدة جدا
Saudi Arabia	restaurants	3956	Positive	هرفي			  قبل سنة واحدة شركة هرفي متميزه من ناحية منتجاتها والوجبات التي تقدمها انها تهتم بالجودة العالية والطعم المميز الخاص بها والسعر المناسب وهذا سبب نجاحها بخلاف بعض المطاعم تدخل تلقى عنده وجبات بقيمة عاليه ولكن لاطعم ولا جودة ومستحيل ترجع مره ثانية تحياتي
Eygpet	Political	747	Negative				ولا بتعمل اى حاجة
	Software	698	Negative		1.0	WeChat	زززفففففت كانوحلو الان زفت كل شويه حذف وتنزيل ما يستحق ولا نجمه
	Software	231	Negative		1.0	Snapchat	الحين انا جوالي تاب ثري لما اسوي اشتراك واسوي كل حاجه يقول هناك مشكله في الاتصال بالخادم ياجماعه شوفولي حل؟؟
Eygpet	Political	888	Negative				هناك العديد من الوجوه الوزاريه القديمه مستمره برغم فشلها الفتره السابقه
Kuwait	restaurants	4998	Positive	كنتاكي			  من الاماكن التي استهوي الذهاب اليها لان بها طعم الدجاج الحري مع البهارات بالاضافة الى منظر البحر الجميل مع الاكل
Kuwait	Bakeries and Goodies	4091	Positive	مركز النعيم للتمور			  يوجد به كافة ما تحتجه من التمور المنيفي و الخلاص الذي هو افضل انواع التمور و السكري و كل الانواع
	Software	228	Negative		2.0	Snapchat	حتى بعد التحديث الفلاتر مثل فلتر الكلب ما اقدر اجيبهماتمنى انكك تعدلون مشكلتي انه لما اضغط وقت طويل على الشاشة ما تطلعلي الفلاتر مثل فلتر الكلب وكذا ما يطلعلي جوتلي جلكسي اس2 اتمنى انكم تعدلون والله لاحط 5 نجوم
Kuwait	shopping	5926	Positive	الكوت مول			  مكان رائع و على مستوى رائع من الشكل الخارجي و الداخلي ايضا يوجد به العاب للصغار و يوجد به سينما و افخم المطاعم التي تحب ان تاكل فيها و ايضا يوجد به الفنار و هي منارة عالية عندما تصعدها ترى منظر الخليج الرائع و الهواء الطلق انه مكان رائع للتنزه بعد الافطار يوجد ايضا به بالاسفل مطعم رائع لبيع الايس كريم اللذيذ انصحك بالذهب لهناك للتجربة
Jordan	shopping	183	Positive	كارفور مول عمان			موقعه استراتيجي يوجد موقف لسيارات
Saudi Arabia	Fashion	1785	Positive	ماركس اند سبنسر			تعجبني اكثر شي في ملابس البنوتات الصغار مرررة حلوة وكيوت في منها الرسمي وفي السبور موديلاتها وخاماتها جدآ رائعة وتناسب الجميع  الاسعار متوسطة الى مرتفعة المحل متنوع بين الملابس الرجالية والنسائية والاكسسوارات والملابس النسائية الداخلية والمنتجات التجميلية يعني تقريبا محل متكامل  انصح بزيارته .
Saudi Arabia	Fashion	1866	Negative	نعومي			دخلته مرة واحدة ولا شفت فيه زود مجرد أسعار بالعلالي ومين بالله راح يشوف ماركة ملابس داخلية حتى الزوج مو داري إلا عن الفلوس اللي تاخذينها وتضيعينها على قولته بشيء ما يسوى
Saudi Arabia	restaurants	3976	Positive	هوت باستري			  قبل سنة واحدة الخدمة فوق الممتازة والاكل الله عليه والمعجنات رائعة العجينة هشة رائعة جنان وكمان الله على الخدمة عندهم مميزة والطلب على السريع بينجزوه انا بصراحة انصح فيه
Qatar	hotels	4789	Negative	فندق نيو جاردن بالاس			سيئ سئ جدا جدا جدا
Qatar	Fashion	6267	Positive	ماكس			(جيد جداً) هذا المحل رائع وبضاعته جيده واكيد راح بتلاقي فيه كل ما تحتاجه من ملابس جيده ورخيصه بعض الشيء وانا دايما بتعامل معه خصوصا في اوقات التنزيلات لانه تنزيلاته تنزيلات حقيقيه ،،، يوجد فرعين كبار منه واحد بمنطقه الريان والثاني بسيتي سنتر الدوحه وانصح الجميع زيارتة
Yemen	Political	1067	Negative				ظننت ظنآ فخاب ظني ظننت شيخآ فأصبح مغني
Saudi Arabia	restaurants	3853	Positive	مطعم كوبر شندي			(جيد جداً) قبل سنة واحدة مطعم مميز وهو مطعم هندي يمكنك من التحكم في نسبة الحرارة ولا تغامر فالحرارة عاليه جداً لذا حدد كميه الفلفل و كذلك انصح بالمسالا الدجاج ورز برياني سادة و السمبوسه جبن وتذكر انه لا يقبل الحجز بالتلفون مع انه يعيبه الازدحام
Yemen	Political	445	Positive				اذا كان هذا مشروعك يابن هادي فنحن معك
Saudi Arabia	restaurants	3773	Positive	مطعم النافورة			  قبل سنة واحدة من افضل وارق المطعم ويتميز باتنوع الماكولات وذو مذاق راع ونظافه عاليه انصحكم لا تخلونه عطوه زياره خاصه في رمضان ومع البوفيه الروعه والاستقبال بالقهوه العربيه
Saudi Arabia	restaurants	3877	Positive	مكاني			  قبل سنة واحدة مكاني مطعم يقدم اكلات هندية لها نكهة خاصة بتوابل هندية مميزة انا لازم كل اسبوع يوم اتعشى هناك واحب اكثر شئ الشباتي يسونه بطريقه حلوه والمطعم عيبة الوحيد زحمه كثير لاكن قدام الاكل الطيب نستحمل
Yemen	Political	558	Positive				والله طالع هنجمه بالمباشر هههه لايزيد يطلع بالتلفزيون اتضح لي انه نضره خفيف يوم يكسر الكلام اما الان اسد 😅
Kuwait	shopping	6010	Positive	سوق شرق			  مازال محتفظ بمكانته بالرغم من قدمه و زيادة المجمعات الجديدة،
Jordan	shopping	189	Positive	كارفور مول عمان			ممتاز من ناحية الحجم واماكن الاصطفاف والاسعار عنده متوسطة بس اغلب وقتي بقضي في الماركت لانه بصراحة هو روح المول يوجد به العديد من الماركات متنوع يعني ما اظن في احد ما راح عليه لانه حلو
Kuwait	shopping	5942	Positive	جمعية الفروانية التعاونية			  سوق الجمعية يعتبر سوق لوازم العائلة فيه كل ما تحتاجه الاسرة من مواد غذائية و العاب و لوازم مدرسية و اكلات جاهزة و الكثير الكثير انصح بزيارته
Jordan	Cafes	1189	Negative	جوستي ايس كريم و قهوة			خدمة مقرفة بكحشو الواحد كحش  ما في احترام للزبائن نهائيا
Saudi Arabia	restaurants	3287	Positive	عرفة			  قبل 11 يوم من افضل البوفيهات حقت الفلافل الي أعرف كثير ناس يجون من مكان بعيد عشانها فلافلهم لذيذه الي ما تحس متشربه زيت احب الحمص حقهم ،، الي صدق صدق ينقال عنه حمص ونظيف جدا وشغل مرتب وأسعار حلوه
Qatar	Bakeries and Goodies	6148	Negative	مطاعم وحلويات حبيبة			  يجب ان يكون لديهم اهتمام بالنظافة بعض الشيئ خاصة في الصالة وان تكون لديهم برادات خاجية لعرض الحلويات المجمدة كالحلاة بالجبن وان تكون اسعارها معقولة بعض الشيئ فهناك ارتفاع في الاسعار
Jordan	Fashion	2001	Negative	موريلي			لو مافي ولا نجمة بحطلهم لانهم اسواء ناس بالتعامل و كزابين و خربو عليي فرحتي...كتير مشاكل صارت مهم و كزبو كتير بالمواعيد و بتسليم الفسطان مع اني شاريته...بس يضمنو المصاري ما بعودو يتعرفو عليكي...ازا بدك يتنكد عليكي بعرسك اشتري من عندهم...تعامل سيء و موظفات مش عارفين الله وين حاططتهم...ادارة سيئة جدا...رحت على عرسي الفسطان مو عاملينله تديق وعريض من عند الصدر و وسلموني ياه قبل العرس بيوم...بس تشري بحكولك الفسطان شامل المرفقات... وبس يقرب العرس و تروحي تستلميهم بحكولك لاء مو شامل المرفقات
Qatar	hotels	6289	Positive	الشيراتون			(جيد جداً) فندق رائع و موقعة جيد و نظيف و افضل الفنادق التي تقدم الاسعار .
Qatar	Fashion	6259	Positive	براندس			  السلام عليكم. من اسمه محل براندس فيه ماركات كتيرة، المحل بصراحة فرصة لإنقاذ الرجل الذي يريد أن يشتري أي شيء في اللحظة الأخيرة، لأنه لديه تشكيلة متنوعة وحقيقية من مختلف أصناف الملابس، بدءً بالجوارب، وحتى الطاقية، كذلك فهو من المحلات التي تعطي مساحة كبيرة في اختيار السعر المناسب، فأحياناً تجد قمصان بـ 25 ريال، وأحياناً بـ 500 حسب طبيعة القميص. المحل موجود في المول ، كما أنه قد افتتح فرع جميل جداً في سيتي سنتر. أنصح بزيارته وبشدة (في شب لبناني كنت أتعامل معه زمان اسمه عبدالحليم، ما بعرف إزا لسه موجود، بس بصراحة شب مزوء وكتير بساعدكم)
	Software	235	Negative		2.0	Snapchat	عندي مشكله اسناب عندي يوم ابي أفعله يطلع لي. ت س ج ي ل أ ل د خ و ل بلله ابغاكم تحلونها بلله ولا اشتكي على سناب
Jordan	shopping	200	Positive	كارفور مول عمان			هذا السوق يتميز بشخصيه,,,نعم شخصيه خاصة لا تجدها عند غيره,,,موظفين جاهزون للمساعده في اي وقت,,,خدمه رائعه,,,سلاسه في ترتيب الاقسام,,,لا تصاب بالحيرة ابدا في هذا السوق,,,
Qatar	restaurants	6334	Negative	كنتاكي			(سيء) الخدمة ليست جيدة كفاية في جميع فروع كنتاكي اعني النظافة او الخدمة السريعة او حتى العاملين بالمطعم مع العلم ان طعامه لذيذ
Eygpet	Political	195	Positive				ماشاء الله جهد رائع ياريس
Saudi Arabia	restaurants	3774	Positive	مطعم النافورة			  قبل سنة واحدة انا احب اكل من عندهم الاكلات اللبنانية بصراحة مرة جنان وبذات ورق العنب بالزيت الله على الفن بتقديم هذا الطبق وبعد المشاوي تحسها مشوية زين وعلى الاصول وانا بصراحة احب اجلس عندهم على الترس بره واستمتع بالمنظر الجميل والجو الزين انصح الجميع بالتجربة
Saudi Arabia	shopping	356	Negative	كارفور			اسعار بعض المواد الاستهلاكيه مرتفعه وغاليه جدا وكثير من الى مكتوب بالنشره عليه عرض ترويجي ما تلقاه وما يوقفون العمل وقت الصلاة يسكرون الأبواب على الناس داخل السوق، ويتركونهم يتسوقون
Saudi Arabia	restaurants	3936	Positive	هرفي			  قبل 8 شهور المطعم بصراحة حلوة بس ناقصوا توسيع لانوا مرة ضيق بس الوجبات السريعة رهيبة الديكور مايوحى بالاستخراء الاسعار كويسة اما خدمة الزبائن شوى بطى بس يحتاج امكان حق الاطفال وانصح الجميع بزيارة مطعم هرفى للتلذذ بالوجبات السريعة
Kuwait	shopping	6053	Positive	كارفور			(جيد جداً) لديهم جميع المنتجات المطلوبة للعزومة
Egypt	restaurants	5161	Negative	شاورما الريم			من الاماكن الي ليا زيارات سيئة معاها للاسف رغم ان ناس كتير بتحبها .. انا روحت هناك اكتر من مرة وكل مرة كنت بقول يمكن اكون ظالم الناس دي .. المكان هناك عادي جدا الخدمة متوسطة .. والاكل متوسط .. لما روحت و جبت ساندوتش شاورما لحمة والتاني فراخ و فتة شاورما فراخ و 2 بطاطس بالموتزاريلا .. الشاورما تمنها 14 جنيه للوسط .. و الفتة 28 جنيه .. و البطاطس 8 جنيه للواحد .. الشاورما كان الخضار فيحمضان وللاسف قرفت من الاكل ورميت باقي كمية الاكل الي كانت معايا .. لكن في طلب تاني جبت بطاطس بالموتزاريلا .. ووقف ساعة الا ربع مستني الاوردر ولما اشتكيت اتعاملت معاملة وحشة .. وفي الاخر اتقالي ان القلاية بايظة حبيت اخد فلوسي قالولي الاوردر اتضرب و هيخلص بسرعة .. خدت الساندوتشين بعد عناء وفي الاخر جاي باكل لقيت العيش محروق للاسف وناشف .. ومن ساعتها وانا حلفت مش هقرب المكان ده تاني رغم ان اسعاره غالية لكن الخدمة مش حلوة
Jordan	hotels	4762	Negative	فندق كورال بي			الغرف قديمه وبحاجه الى تحديث
Saudi Arabia	Bakeries and Goodies	668	Positive	50 فاكهة			له سنتين تقريبا بالرياض والزباين ماشاء الله تلاقيها بالدور عند المحل متميز بديكورة وطريقه عرض الفواكه بالمحل عصيرات لذيذه وطازجه اسعار انا اشوفها جدا مناسبة ومتوسطه انصحكم تجربوه لو بقي احد ماجرب اظن عصير البرتقال سعره 8 ريال
Saudi Arabia	restaurants	3074	Positive	دي كيو			  قبل 10 أيام زرت هذا المكان قريبا، قسم العوائل كان موجود بالدور اللي فوق ومافيه مصعد المكان كان جددددا هادي وكان فيه بارتشن، فرعه هذا حلو أكثر من العليا للعوائل.. الطعم كان لذيذ ووصلنا الأكل وهو ساخن... بالنسبة للمشروبات يعطوك كاس وتعبي من الآلة الين تمل... يستاهل التجربة
	Software	578	Positive		5.0	team viewer	ملاحظه اللي يقول مايعرف يستخدمه ي اخوه لازم تثبت نفس التطبيق في الكمبيوتر وتضبط الحساب في التطبيق اللي ف الكمبيوتر وبعدين تسوي الحساب ف التطبيق اللي في الجوال ان شاء تفهموا
Eygpet	Political	16	Positive				اسأل الله العظيم رب العرش العظيم لك السداد و الرشاد يا سيادة الرئيس
	Software	211	Positive		5.0	WhatsApp Messenger	حلو......لحسب.الستخدام....للعائله....فقط...روعه
Saudi Arabia	restaurants	3444	Positive	كودو			  قبل سنة واحدة لما اقرر اعمل حمية ما اختار غيرهم بسبب لذة الاكل عندهم وبعد الوجبات عندهم كلها صحية وتجنن انا دايما عندهم بسبب روعة اكلهم واسعارهم مناسبة لي وعندهم سلاطات جنان كلها طازجة الخدمة عندهم رائعة انا انصح فيهم بس لو كثرو من فروعهم
	Software	1124	Negative		1.0	Line	البرنامج لا يعمل لا يوجد صوت ولا فيديو البرنامج بعد التحديث بقى سئ جدآ
	Software	289	Negative		1.0	Twitter	التويتر سيء لماذا عندما أحدث الغلاف يحدث تم ايقاف التويتر ؟ ارجوا الرد سريعا لقد مللت هذا البرنامج 😤
	Software	242	Negative		1.0	Snapchat	توجد مشكلة في الفيسات لما احط فيوس بعضها يختفي ويش السالفة ارجو حل المشكلة با اقرب وقت ممكن
	Software	688	Negative		1.0	WeChat	فيه خلل كل يومين لازم احذفه واحمله من جديد وتنمسح جميع الرسايل لا زم تنحل المشكله اكره ذالك نجمه واحده
Eygpet	Political	248	Positive				نتمني لك التوفيق والنجاح في المهمه الوطنيه الكبيرة والانتصار علي كل المجرمين والمفسدين في الداخل
Kuwait	restaurants	5129	Negative	مطعم نارنج			منذ سنة كتبت رأيي في هذا المكان واليوم وبناء على طلب اخي الصغير توجهت إلى هناك. طبعا وبعد 45 دقيقة من الانتظار حصلنا على طاولة في الخارج والجو يملؤه الغبار. طلبنا التبولة واتت وما كان ينقصنا إلى ان يعطوننا سكينا لنقطع الخضار؟ البقدونس غير مقطع البصل كبير جدا والبرغل فايش&quot; يعني التبولة قديمة&quot; واثناء جلوسنا اتت الينا 7 طلبات خاطئة إلى ان اتى طلبنا &quot; شيش طاووق وتكة&quot; ولكن النادل وضع الكباب والتكة في محاولة منه ان يقنعني ان الكباب طاووق! طبعا نوعية اللحمة سيئة وكأنها مطاط سيارات . وعلى الرغم من امتعاضي ووعود بن مدير المطعم سيأتي لم نره بالمطلق. ولم يوضع محارم على الطاولة الا بعد انتهائنا من الطعام. تجربة لا اود تكرارها &quot; وعيب تستهبلو الناس&quot;
Jordan	Bakeries and Goodies	855	Negative	مياه نستله			ههههه شكلها مشكلة عند الكل طبعا انسى موضوع لما تحكي معهم تحكيلهم مشكلتك بيقولولك ان هلأ هلأ رح نحكي مع السيارة عشان تجيبلك العبوات، وطبعا بيروح الموضوع 3 ايام لحتى لجيبوها بعد ما تكون فاتورة موبايلك صارت مليون. طريقة التسليم خرافية .. يعني لازم تضل في البيت يوم اللي بيوزعولك عشان ما يروح عليك التوزيع، وطبعا اليوم بيروح شطب بس عشان تستني المي! في ناس بعرفهم مشتركين معهم من 4 سنين، وقبل اسبوعين بطلت توصلهم المي، ولما حكوا معهم قال شو انتو اللي غيرتوا العنوان وما حكيتولنا!! طبعا الجماعة ساكنين بالفيلا الهم 6 سنين وما فكروا ولا يوم يطلعوا منها!!!! والباقي عندكم
Saudi Arabia	restaurants	3123	Positive	ست الشام			  قبل سنة واحدة آآآفضل المطاعم والاسسسعار مناسبه والخدممممممممممممممممممممممممه سسسسريعه والمكان نظييف واكلهم احلى واروووووع ششي نكهاتهم من جد لذيذيه جو هادئ رائع رومنسي وتحس حالك بالبيت تحس براحه جو رهيب هادئ انصصصحكم فيييييييييييييييييييييييييييييه ماراح تندموووون ابدا اروع المطاعم اهو ذوق وراقي واكل الذ وانظف منه مافيه
Saudi Arabia	Fashion	1900	Negative	جينيفر			بصرآآحه هالمحل مآآآآآيعجبني آآبد ،ؤآأشؤف ان بضآعتهم مرررآآ هرآآديس :$ <<< آتحدئ أحد يفهمهأإ :P
Saudi Arabia	restaurants	3079	Positive	ديو			  قبل سنة واحدة السلام عليكم ورحمة الله وبركاته البارح متعشي او تقدرون تقلون سحور عدلو اسم المطعم من ديو إلى ((((((بيـــــاتو))))) وعلى ذلك جرى التنبيه وسالتهم على تغير شي غير الاسم اشارو الا كل شي على وضعه مجرد الاسم وانصحكم بشوربة البصل بوسط خبز بياتو
Jordan	shopping	215	Positive	كارفور مول عمان			تجد اكثر من خيار ونوع لنفس المنتج والاسعار رخيصه تنايب ذوي الدخل المحدود ودائما يوجد عروض على جميع المنتجات والكهربائيات وجميع الالكترونيات يوجد لها كفاله
	Software	506	Negative		1.0	Hangout	انه باب من ابواب الشيطان من خلاله نحرفت الكثير من الفتيات
	Software	798	Positive		5.0	Imo	سهل وممتع جدا ف الاتصال جيد جدا
Saudi Arabia	restaurants	2819	Positive	برجر بوتيك			  قبل سنة واحدة أطيب همبرجر جربتو بحياتي!!! طلبتMachine Gun SAR SR 38.00 Grilled beef patty with fried mushrooms, fried jalapenos, melted cheddar, bacon and chipotle mayo ، يا حبيبي شو طيب. غير عن هيك اعدتو حلوه وديكرو جيد جداً. بعيدها ميت ألف مرة. كمان شغله ضلت بالي هييه الشوكه، تصميمها رائع جداً.
Eygpet	Political	193	Positive				بارك الله بكل ما تعمله يا رئيس اليمن الجديد
Jordan	Fashion	1925	Negative	أزياء كاشيه للعرايس			تجربتي مع محل كاشيه سيء جدا و لا أنصح أحد بالاستئجار منه ، لأنني حجزت بدلة زفافي من كاشيه فرع الزرقاء و بدلوا بدلتي عند استلامها قبل العرس بيوم ببدلة أخرى مشابهه لها لكن بلون مختلف حيث كان لون بدلتي يلي حجزتها أبيض لؤلؤي و البدلة يلي استلمتها لونها أوف وايت غامق كأنها وسخة و ملبوسة عشرسنين و مو مغسولة و مديل قديم ولايساوي سعرها نصف بل أقل من سعر البدلة يلي دفعت ثمنها و يلي كان حجزها 400 دينار الله لا يسامحهم عليهم ،و لما تجادلنا انو مو هادي البدلة يلي حجزتها و جربتها قبل، أصروا انها هي و أنكروا و أستخدموا صوتهم العالي مشان ما أحكي شي و أختصر معهم و كان حجتهم باللون انو من اضاءة المحل لونها مبين أوف وايت لأنهم سلموني اياها في الليل و قالوا لي انو في النهار لونها أبيض لؤلؤي .. المهم أخدت البدلة و تفاجأت لما البستها في الصالون انوالبدلة لونها أوف وايت غامق مو أبيض لؤلؤي و في النهار بينت أسوأ من الليل لأنو لونها بين كأنها وسخة كتير لكن المفاجأة يلي كانت صدمة الي أنو البدلة كانت ممزوعة كمان و صاحبة الصالون خيطت لي اياها .. سموا بدني في يوم عرسي و نكدوا عليو الله لا يسامحهم .. و بعدين اعرفت من ناس تانيين انهم مو أول مرة ببدلوا البدلات بل صارت مع ناس قبلي كتير..
Saudi Arabia	doctors	1333	Positive	مستوصف الريان الطبي			يوجد به أطباء علي مستوي عالي من التخصص والتعامل مع المرضي،لديهم الكثير من الخدمات الطبية الجيدة سواء بالنسبة للتحاليل الطبية والآشعة كما يوجد لديهم فحص الإقامات و عمل التغذية و المستوصف يتعامل مع كل مرضي التأمين الصحي بكل فئاتهم.
Saudi Arabia	restaurants	4013	Positive	وادي الزمرد			(جيد جداً) قبل عامين احب الرز البخاري من عندهم له طعم جنااان والجلسات عندهم حلوة وانيقة انصحكم تروحو لو
Saudi Arabia	restaurants	3068	Positive	داجن			(جيد جداً) قبل 25 يوم ممتاز من جميع النواحي من ناحية الجلسة مرة مريحة وكلها خصوصية بالنسبة للعائلات وبعد الخدمة يبغالها شوي تكون اسرع من كذا الوجبة ممتازة والاسعار مرة روعة سعرها 20 ريال وعندهم سلطات طازجة ولذيذة انصح بالتجربة
Kuwait	restaurants	5003	Positive	كنتاكي			  مطعم دجاج كناتي هو مطعم من اشهر المطاعم فالعالم من اكثرها رقاءاً وفخامتاً وفي مره رحت فيها مع اصحابي وكان المطعم ماشاء الله نظيف و الخدمة كانت اكثر من رائعة والاسعار لا يعلا عليها واما عن المشروبات الكحولية فهو مطعم يتميز بالطابع الاسلامي فكل ما تطلبه يكون حلال 100% وخالي من اي شوائب او لوحوم او دهون الخنازير او ماشبه كما يتميز بالخلطات الرائعة للطعام لما يطيه الطابع اللذيذ والصحي معا ً فأتمنى من الجميع زيارة هذا المطعم للاستمتاع باشهى المأكولات والوجبات السريعة المميزة و بالخدمات العاليه .
Saudi Arabia	shopping	345	Negative	بانوراما مول			انا مادخلته ولاراح ادخله لانه محرم علي دخول المولات في بلدي ذنبي الوحيد اني شاب سعودي اسالوني عن فيلاجيو في قطر او السيف في البحرين او دبي مول في الامارات جميع المولات دخلتها وبالعكس يكون مرحب بي بعكس مولات الرياض التي يحرسها امن يتقاضون رواتب فقط لمنعنا من الدخول لماذا الاجنبي يدخل المول وابن البلد يطرد اسف جدا على الشطحه ولكن من حر مافي داخلي ودمتم
Jordan	Fashion	1643	Positive	مانجو			محل جيد جدا.... مرتب بأغلب الفروع الي زرتها،،، ما بنصح اشتروا منو الا في السيل،،،، موديلاته بتناسب اغلب الأعمار والفئات ...... كثير بشتري منو والاقي الي بيناسبني فيه احب نوعيه الأقمشة الي بيستخدموها والموديلات الكاجوال  غرف القياس اكثر من غرفه وواسعة ومناسبه
Saudi Arabia	restaurants	3647	Positive	مطعم الأسطول			(جيد جداً) قبل سنة واحدة بسم الله الرحمن الرحيم .. مطعم الأسطول يقع بجانب بيتي في حي المحمدية .. لذلك تقريبا اذهب اليه كل اسبوع تقريبا .. المطعم يشتغل فيه اتراك ويتكلمون سوري وهذا شيء معروف .. قبل المطعم كان صغير وكان جنبه مطعم ثاني .. المطعم الثاني سكر لمشاكل .. الأسطول اخذ مكانه وصار المطعم اكبر .. ومن هنا تبدأ زياراتي اليه ..المطعم بعد التجديد صار اكبر وديكوره حلو يعني ما نقول فخم نقول جيد جدا ..بس الشغل فيه ممتاز ارضيته نظيفة دائما .. نجي لجودة الطعام هي صراحة جودة ممتازة جدا صراحة الأكل فيه ممتاز .. طبعا هو يقدم كل شيء يعني مش متخصص بشيء معين في مشاوي ورز وفطائر ومشروبات .. وكل شيء الأكل نظيف صراحة .. صحيح انو في بعض الأشياء نظيفة وحلوة بس كمان ما تستاهل سعر غالي اسعاره يعني نقول متوسطة بس تستحق تكون كذا يعني في مطاعم تلقاه غالي واكله سيء جدا .. طبعا هو يقدم وجبات فطور وغداء .. بالنسبة خدمة الزبائن يعني ما نقول سريعة بس الشغل فيه مرتب هو المطعم مب كبير مرررة ..يعني عادي .. عشان هيك مافي خدمة للإصطفاف .. المشروبات مافي عنده بيبسي وميراندا والي زيها في فانتا وكوكاكولا وسبرايت .. بس العصائر عنده تغني عن المشروبات الغازية كلها .. انا من جهتي يعني السعوديين والأجانب يجون عليه بحكم انه قريب من منازلهم .. وصراحة انا انصح فيه يعني اعيطه جيد جدا .. هو ما يجي مثل المطاعم ذي الشهرة لكن لو يفتح فروع ويكبر مطعمه اتوقع ينافس المطاعم الكبرى .. هذا كل ما لدي حلو مطعم الأسطول ان شاء الله اكون افدتكم ..
Kuwait	shopping	5966	Positive	سوق المباركية			(جيد جداً) وهو سوق تراثي وسمي نسبة إلى الشيخ مبارك الصباح وعندما تذهب اليه تعود الى الماضي وهو سوق جميل جداً يشعرك بالسعادة الغامرة وحب الوطن اي كان
